comment_id,brand,comment_text,like_count,create_time,platform,clean_text,tokenized_text,processed_text,topic,ai_sentiment,ai_sentiment_confidence,ai_topic,human_sentiment
7450591435747619840,highlands,Uống dị chắc hổng mập đâu 😳,0,2024-12-21 03:20:41,TikTok,uống dị chắc hổng mập đâu,uống dị_chắc hổng mập đâu,uống dị_chắc hổng mập,0,POS,0.9,Khác/Chung,
Y29tbWVudDoxMzc3NjY5MjUxMDcyMDE1XzgxMjU4MTkwMTM3MTY4Nw==,phuc_long,Thanh Trucc uống mệt nghỉ luôn,2,2026-04-04 10:31:13,Facebook,thanh trucc uống mệt nghỉ luôn,thanh trucc uống mệt_nghỉ luôn,thanh trucc uống mệt_nghỉ,0,NEU,0.85,Khác/Chung,
7508652066156520448,katinat,nhiêu tien vậy,0,2025-05-26 14:28:59,TikTok,nhiêu tien vậy,nhiêu tien vậy,nhiêu tien,0,NEU,0.85,Khác/Chung,
7300508863118520320,highlands,vừa đấm vừa xoa,0,2023-11-12 16:43:12,TikTok,vừa đấm vừa xoa,vừa đấm vừa xoa,đấm xoa,0,NEG,0.9,Khác/Chung,
7538808340278030336,highlands,"uống có vị gạo,matcha uống như bỏ bột vô nc sôi r bỏ vô cốc,uống chát chát tởm tởm (ykr)",0,2025-08-15 20:46:44,TikTok,"uống có vị gạo,matcha uống như bỏ bột vô nc sôi rồi bỏ vô cốc,uống chát chát tởm tởm ykr","uống có vị gạo , matcha uống như bỏ bột vô nc_sôi rồi bỏ vô_cốc , uống chát_chát tởm tởm ykr","uống vị gạo , matcha uống bỏ bột vô nc_sôi bỏ vô_cốc , uống chát_chát tởm tởm ykr",0,NEG,0.9,Hương vị/Chất lượng đồ uống,
7356893975918229504,highlands,cá nhân mình thấy nó ngọt kiểu hoá học và khá gắt cổ.Nói chung k hạp gu,1,2024-04-12 15:26:09,TikTok,cá nhân mình thấy nó ngọt kiểu hoá học và khá gắt cổ.nói chung không hạp gu,cá_nhân mình thấy nó ngọt kiểu hóa_học và khá gắt_cổ . nói_chung không hạp gu,cá_nhân ngọt kiểu hóa_học khá gắt_cổ . nói_chung hạp gu,0,NEG,0.9,Hương vị/Chất lượng đồ uống,
7300234912194740224,highlands,Không ngon nha 🥺,1,2023-11-11 23:00:03,TikTok,không ngon nha,không ngon_nha,ngon_nha,0,NEG,0.8,Khác/Chung,
7483726903044620288,katinat,@follower cả tik tok chắc tui nghĩ nhiều ròi ko chắc người này đâu,0,2025-03-20 10:22:48,TikTok,cả tik tok chắc tui nghĩ nhiều ròi không chắc người này đâu,cả tik tok chắc tui nghĩ nhiều ròi không chắc người này đâu,tik tok chắc nghĩ ròi chắc,0,NEU,0.85,Giá cả/Khuyến mãi,
3026cce84d00870cca94,katinat,Nhy TrươngPhuong Quyenchưa ún mà chờu,0,2026-04-15 04:00:43,Facebook,nhy trươngphuong quyenchưa uống mà chờu,nhy trươngphuong quyenchưa uống mà chờu,nhy trươngphuong quyenchưa uống chờu,0,NEU,0.85,Khác/Chung,
7494541544605120512,katinat,matcha ún ngon nha các bạn vị rất matcha 🤣,0,2025-04-18 13:49:14,TikTok,matcha uống ngon nha các bạn vị rất matcha,matcha uống ngon_nha các bạn vị rất matcha,matcha uống ngon_nha vị matcha,0,POS,0.9,Hương vị/Chất lượng đồ uống,
7550303700750170112,katinat,Hoàng hôn HN vẫn là 1 cái gì đó 🥹🥺,0,2025-09-15 20:14:39,TikTok,hoàng hôn hn vẫn là 1 cái gì đó,hoàng_hôn_hn vẫn là 1 cái gì đó,hoàng_hôn_hn 1,0,NEU,0.85,Khác/Chung,
7466594724682510336,highlands,đi uống hòi h chưa có topping nhìu vậy,4,2025-02-02 06:21:39,TikTok,đi uống hòi h chưa có topping nhiều vậy,đi uống hòi_h chưa có topping nhiều vậy,uống hòi_h topping,0,NEU,0.85,Khác/Chung,
7475373976957729792,highlands,Uống tưởng uống nửa ký đường,0,2025-02-25 22:09:04,TikTok,uống tưởng uống nửa ký đường,uống tưởng uống nửa ký đường,uống tưởng uống nửa ký đường,0,NEG,0.9,Khác/Chung,
8c45d0cf5ddc2c936ddd,highlands,"Thôi, 7 ngày nay uống HL 5 ngày lận, cho a thư thư cái đê",0,2026-05-06 13:00:06,Facebook,"thôi, 7 ngày nay uống hl 5 ngày lận, cho a thư thư cái đê","thôi , 7 ngày_nay uống hl 5 ngày lận , cho a_thư thư cái đê",", 7 ngày_nay uống hl 5 lận , a_thư thư đê",0,NEU,0.85,Khác/Chung,
7565156266206610432,highlands,@🐟 hoài lum í,1,2025-10-25 20:50:11,TikTok,hoài lum í,hoài lum í,hoài lum í,0,NEU,0.85,Khác/Chung,
7258264205639000064,highlands,Shao 0 có đồ blackpink z highland 🥺,1,2023-07-21 20:32:21,TikTok,shao 0 có đồ blackpink vậy highland,shao 0 có đồ blackpink vậy highland,shao 0 blackpink highland,0,NEU,0.85,Giá cả/Khuyến mãi,
7439319632240100352,highlands,nhờ 2 lèn t mới nhớ trong tủ còn cốc mixue chưa uống:))),0,2024-11-20 18:19:43,TikTok,nhờ 2 lèn tao mới nhớ trong tủ còn cốc mixue chưa uống,nhờ 2 lèn tao mới nhớ trong tủ còn cốc mixue chưa uống,nhờ 2 lèn nhớ tủ cốc mixue uống,0,NEU,0.85,Dịch vụ/Cửa hàng,
7449419874331320320,highlands,Z ún findi kem sữa là đc mà taa,0,2024-12-17 23:33:51,TikTok,vậy uống findi kem sữa là được mà taa,vậy uống findi kem sữa là được mà taa,uống findi kem sữa taa,0,NEU,0.85,Khác/Chung,
8643582776116689920,highlands,Nên Hải Hoàng ♥️♥️♥️♥️♥️ Hoàng Hải,0,2026-04-28 14:02:37,Facebook,nên hải hoàng hoàng hải,nên hải_hoàng_hoàng hải,hải_hoàng_hoàng hải,0,NEU,0.85,Khác/Chung,
Y29tbWVudDo5NTQ0NzYyNjM5NDc5MDFfMTI5MzYxODc2ODg2ODQxNw==,katinat,Bnhieu mot cai,0,2026-04-29 14:39:28,Facebook,bnhieu mot cai,bnhieu mot cai,bnhieu mot cai,0,NEU,0.85,Khác/Chung,
7635929076598909952,phuc_long,Bữa sáng quốc dân,0,2026-05-04 14:04:51,TikTok,bữa sáng quốc dân,bữa sáng quốc_dân,bữa quốc_dân,0,POS,0.9,Khác/Chung,
6000760290188699648,phuc_long,Ngô Thuỷ tối ni uống không nè,0,2026-03-17 17:01:19,Facebook,ngô thuỷ tối ni uống không nè,ngô thủy_tối ni uống không nè,ngô thủy_tối ni uống nè,0,NEU,0.85,Khác/Chung,
