comment_id,brand,comment_text,like_count,create_time,platform,user_name,text_length,clean_text,clean_text_length,tokenized_text,token_count,sentiment_label,sentiment_score,source,topic_id
7638553458141266706,phuc_long,đúng kiểu sáng ra là phải ghé chỗ quen,0,2026-05-11 15:48:51,TikTok,miniom_55646,38,đúng kiểu sáng ra là phải ghé chỗ quen,38,đúng kiểu sáng ra là phải ghé chỗ quen,9,Neutral,1.0,manual,3
7636797995308925717,phuc_long,ngon,0,2026-05-06 22:16:48,TikTok,cuonghunh3939,4,ngon,4,ngon,1,Positive,1.0,manual,1
7635930841810027282,phuc_long,"Không gì bằng ly cf buổi sáng, đúng chất Sài Gòn",0,2026-05-04 14:11:48,TikTok,fernandaa_.lopez28,48,không gì bằng ly cf buổi sáng đúng chất sài gòn,47,không gì bằng ly_cf buổi sáng đúng chất sài gòn,10,Neutral,1.0,manual,0
7636719181390496530,phuc_long,qua đây đu,0,2026-05-06 17:10:58,TikTok,c.o.1973,10,qua đây đu,10,qua đây đu,3,Neutral,1.0,manual,3
7636352387381117714,phuc_long,[Sticker] tui bước bằng chân giữa :),0,2026-05-05 17:27:37,TikTok,spam_ua0,36,sticker tui bước bằng chân giữa,31,sticker tui bước bằng chân giữa,6,Neutral,1.0,manual,3
7635931043590210324,phuc_long,Tui nghiện món trà sữa ở đây,0,2026-05-04 14:12:44,TikTok,asd523412,28,tui nghiện món trà_sữa ở đây,28,tui nghiện món trà_sữa ở đây,6,Neutral,1.0,manual,3
7635930957195363090,phuc_long,trà sữa buổi trưa vẫn ok nha 😆,0,2026-05-04 14:12:12,TikTok,fany28066,30,trà_sữa buổi trưa vẫn tốt nha,29,trà_sữa buổi trưa vẫn tốt_nha,5,Neutral,1.0,manual,3
7635930939977138964,phuc_long,hợp lý zạy,0,2026-05-04 14:12:08,TikTok,z4buza_._,10,hợp lý zạy,10,hợp_lý zạy,2,Neutral,1.0,manual,2
7635930899188237063,phuc_long,trà vải ở đây là chân ái của t,0,2026-05-04 14:12:01,TikTok,m_____22a,30,trà vải ở đây là chân ái của t,30,trà vải ở đây là chân_ái của t,8,Neutral,1.0,manual,2
7638493207491838727,phuc_long,Trời ơi đang đói mà thấy cái này,0,2026-05-11 11:55:00,TikTok,cam301190,32,trời ơi đang đói mà thấy cái này,32,trời ơi đang đói mà thấy cái này,8,Neutral,1.0,manual,3
7627145538778268436,phuc_long,ngon đấy thêm một ly cà phê muối nữa nha,2,2026-04-10 22:00:18,TikTok,minh.ng0829,40,ngon đấy thêm một ly cà phê muối nữa nha,40,ngon đấy thêm một ly cà_phê muối nữa nha,9,Positive,1.0,manual,1
7638488503550608136,phuc_long,"Sáng ra làm ổ bánh mì, thêm ngụm cà phê, ngày mới hoàn hảo",0,2026-05-11 11:36:56,TikTok,mishetl_,58,sáng ra làm ổ bánh mì thêm ngụm cà phê ngày mới hoàn hảo,56,sáng ra làm ổ bánh_mì thêm ngụm cà_phê ngày mới hoàn_hảo,11,Neutral,1.0,manual,3
7638485877480112903,phuc_long,"Nhìn là thấy đầy đặn, không bị kiểu ít nhân",0,2026-05-11 11:26:36,TikTok,hernxndezz_11,43,nhìn là thấy đầy đặn không bị kiểu ít nhân,42,nhìn là thấy đầy_đặn không bị kiểu ít nhân,9,Neutral,1.0,manual,0
7637466526275453704,phuc_long,tự nhiên đang lướt mà thấy thèm ngang,0,2026-05-08 17:31:04,TikTok,vyohaz,37,tự nhiên đang lướt mà thấy thèm ngang,37,tự_nhiên đang lướt mà thấy thèm ngang,7,Positive,1.0,manual,1
7637462231915561736,phuc_long,"thịt meat deli ăn nó mọng nước, cái này là tui confirm nha",0,2026-05-08 17:14:20,TikTok,le0_ah,58,thịt meat deli ăn nó mọng nước cái này là tui confirm nha,57,thịt meat deli ăn nó mọng nước cái này là tui confirm nha,13,Neutral,1.0,manual,3
7637465688391992082,phuc_long,"Bánh mì giòn, thịt ủ mát ngon, duyệt",0,2026-05-08 17:27:49,TikTok,zyxwv365,36,bánh mì giòn thịt ủ mát ngon duyệt,34,bánh_mì giòn thịt ủ mát ngon duyệt,7,Positive,1.0,manual,1
7637467454608835346,phuc_long,Bánh mì này là thập cẩm đúng không mọi người,0,2026-05-08 17:34:33,TikTok,katerinsanchez35,44,bánh mì này là thập cẩm đúng không mọi người,44,bánh_mì này là thập_cẩm đúng không mọi người,8,Neutral,1.0,manual,0
7637467445296612114,phuc_long,Có hâm lại không ta,0,2026-05-08 17:34:32,TikTok,amoamis.perros.tp,19,có hâm lại không ta,19,có hâm_lại không ta,4,Neutral,1.0,manual,0
7637467013385159432,phuc_long,Ổ lẻ thì bao nhiêu á,0,2026-05-08 17:32:54,TikTok,fernandajimenez075,20,ổ lẻ thì bao nhiêu á,20,ổ_lẻ thì bao_nhiêu á,4,Neutral,1.0,manual,3
7637466846354195218,phuc_long,Trà sữa sáng uống ổn không ta,0,2026-05-08 17:32:11,TikTok,jjosexo27,29,trà_sữa sáng uống ổn không ta,29,trà_sữa sáng uống ổn không ta,6,Neutral,1.0,manual,2
7627771784897757970,phuc_long,Sieu mlem nên ăn thử✨,0,2026-04-12 14:30:29,TikTok,2.ebecuatannphongg_,21,sieu mlem nên ăn thử,20,sieu mlem nên ăn thử,5,Neutral,1.0,manual,3
