source,target,weight,relation,title
topic::product_taste_quality,confidence::medium,3.1795,has_confidence,Reliability=0.636
topic::product_taste_quality,owner::product_plus_content,2.0,owned_by,Owner=Product + Content
topic::product_taste_quality,risk::product_taste_quality_risk,2.0,risk_signal,Risk=product_taste_quality_risk
topic::product_taste_quality,platform::tiktok,1.0,dominant_platform,Platform=tiktok
topic::product_taste_quality,brand_focus::phuc_long_ratio,1.391,phuc_long_ratio,Phuc Long ratio=27.82%
topic::price_promotion,confidence::medium,3.0909999999999997,has_confidence,Reliability=0.618
topic::price_promotion,owner::marketing_plus_crm,2.0,owned_by,Owner=Marketing + CRM
topic::price_promotion,risk::price_promotion_risk,2.0,risk_signal,Risk=price_promotion_risk
topic::price_promotion,platform::facebook,1.0,dominant_platform,Platform=facebook
topic::price_promotion,brand_focus::phuc_long_ratio,1.7469999999999999,phuc_long_ratio,Phuc Long ratio=34.94%
topic::branch_availability,confidence::medium,2.814,has_confidence,Reliability=0.563
topic::branch_availability,owner::retail_expansion_plus_operations,2.0,owned_by,Owner=Retail Expansion + Operations
topic::branch_availability,risk::branch_availability_risk,2.0,risk_signal,Risk=branch_availability_risk
topic::branch_availability,platform::tiktok,1.0,dominant_platform,Platform=tiktok
topic::branch_availability,brand_focus::phuc_long_ratio,1.3495,phuc_long_ratio,Phuc Long ratio=26.99%
topic::brand_love_content,confidence::medium,2.74,has_confidence,Reliability=0.548
topic::brand_love_content,owner::content_plus_social_team,2.0,owned_by,Owner=Content + Social Team
topic::brand_love_content,risk::brand_love_content_risk,2.0,risk_signal,Risk=brand_love_content_risk
topic::brand_love_content,platform::facebook,1.0,dominant_platform,Platform=facebook
topic::brand_love_content,brand_focus::phuc_long_ratio,1.0,phuc_long_ratio,Phuc Long ratio=19.63%
topic::delivery_waiting,confidence::medium,2.5855,has_confidence,Reliability=0.517
topic::delivery_waiting,owner::operations_plus_delivery_partner,2.0,owned_by,Owner=Operations + Delivery Partner
topic::delivery_waiting,risk::delivery_waiting_risk,2.0,risk_signal,Risk=delivery_waiting_risk
topic::delivery_waiting,platform::facebook,1.0,dominant_platform,Platform=facebook
topic::delivery_waiting,brand_focus::phuc_long_ratio,1.62,phuc_long_ratio,Phuc Long ratio=32.40%
topic::app_payment_order,confidence::low,2.3985000000000003,has_confidence,Reliability=0.480
topic::app_payment_order,owner::digital_product_plus_data,2.0,owned_by,Owner=Digital Product + Data
topic::app_payment_order,risk::app_payment_promotion,2.0,risk_signal,Risk=app_payment_promotion
topic::app_payment_order,platform::facebook,1.0,dominant_platform,Platform=facebook
topic::app_payment_order,brand_focus::phuc_long_ratio,1.0430000000000001,phuc_long_ratio,Phuc Long ratio=20.86%
topic::service_store_staff,confidence::low,2.3169999999999997,has_confidence,Reliability=0.463
topic::service_store_staff,owner::operations_plus_store_manager,2.0,owned_by,Owner=Operations + Store Manager
topic::service_store_staff,risk::service_store,2.0,risk_signal,Risk=service_store
topic::service_store_staff,platform::tiktok,1.0,dominant_platform,Platform=tiktok
topic::service_store_staff,brand_focus::phuc_long_ratio,1.2075,phuc_long_ratio,Phuc Long ratio=24.15%
