comment_id,brand,comment_text,like_count,create_time,platform,user_name,text_length,clean_text,tokenized_text,sentiment_label,sentiment_score,source
7638553458141266706,phuc_long,đúng kiểu sáng ra là phải ghé chỗ quen,0,2026-05-11 15:48:51,TikTok,miniom_55646,38,đúng kiểu sáng ra là phải ghé chỗ quen,đúng kiểu sáng ra là phải ghé chỗ quen,Neutral,1.0,manual
7636797995308925717,phuc_long,ngon,0,2026-05-06 22:16:48,TikTok,cuonghunh3939,4,ngon,ngon,Positive,1.0,manual
7636797903860908821,phuc_long,hay,0,2026-05-06 22:16:27,TikTok,cuonghunh3939,3,hay,hay,Neutral,1.0,manual
7636719181390496530,phuc_long,qua đây đu,0,2026-05-06 17:10:58,TikTok,c.o.1973,10,qua đây đu,qua đây đu,Neutral,1.0,manual
7636352387381117714,phuc_long,[Sticker] tui bước bằng chân giữa :),0,2026-05-05 17:27:37,TikTok,spam_ua0,36,sticker tui bước bằng chân giữa,sticker tui bước bằng chân giữa,Neutral,1.0,manual
7635931043590210324,phuc_long,Tui nghiện món trà sữa ở đây,0,2026-05-04 14:12:44,TikTok,asd523412,28,tui nghiện món trà_sữa ở đây,tui nghiện món trà_sữa ở đây,Neutral,1.0,manual
7635930939977138964,phuc_long,hợp lý zạy,0,2026-05-04 14:12:08,TikTok,z4buza_._,10,hợp lý zạy,hợp_lý zạy,Neutral,1.0,manual
7638493207491838727,phuc_long,Trời ơi đang đói mà thấy cái này,0,2026-05-11 11:55:00,TikTok,cam301190,32,trời ơi đang đói mà thấy cái này,trời ơi đang đói mà thấy cái này,Neutral,1.0,manual
7627145538778268436,phuc_long,ngon đấy thêm một ly cà phê muối nữa nha,2,2026-04-10 22:00:18,TikTok,minh.ng0829,40,ngon đấy thêm một ly cà phê muối nữa nha,ngon đấy thêm một ly cà_phê muối nữa nha,Positive,1.0,manual
7637466526275453704,phuc_long,tự nhiên đang lướt mà thấy thèm ngang,0,2026-05-08 17:31:04,TikTok,vyohaz,37,tự nhiên đang lướt mà thấy thèm ngang,tự_nhiên đang lướt mà thấy thèm ngang,Positive,1.0,manual
7637467454608835346,phuc_long,Bánh mì này là thập cẩm đúng không mọi người,0,2026-05-08 17:34:33,TikTok,katerinsanchez35,44,bánh mì này là thập cẩm đúng không mọi người,bánh_mì này là thập_cẩm đúng không mọi người,Neutral,1.0,manual
7637467445296612114,phuc_long,Có hâm lại không ta,0,2026-05-08 17:34:32,TikTok,amoamis.perros.tp,19,có hâm lại không ta,có hâm_lại không ta,Neutral,1.0,manual
7637467013385159432,phuc_long,Ổ lẻ thì bao nhiêu á,0,2026-05-08 17:32:54,TikTok,fernandajimenez075,20,ổ lẻ thì bao nhiêu á,ổ_lẻ thì bao_nhiêu á,Neutral,1.0,manual
7637466846354195218,phuc_long,Trà sữa sáng uống ổn không ta,0,2026-05-08 17:32:11,TikTok,jjosexo27,29,trà_sữa sáng uống ổn không ta,trà_sữa sáng uống ổn không ta,Neutral,1.0,manual
7627771784897757970,phuc_long,Sieu mlem nên ăn thử✨,0,2026-04-12 14:30:29,TikTok,2.ebecuatannphongg_,21,sieu mlem nên ăn thử,sieu mlem nên ăn thử,Neutral,1.0,manual
7633038496722617108,phuc_long,ta về đun nước pha trà là đây chứ đâu,0,2026-04-26 19:07:59,TikTok,taitorangho,37,ta về đun nước pha trà là đây chứ đâu,ta về đun nước pha trà là đây chứ đâu,Neutral,1.0,manual
7636363634340365064,phuc_long,Nhìn hấp dẫn,0,2026-05-05 18:11:12,TikTok,1k.follow.th.i.tn864,12,nhìn hấp dẫn,nhìn hấp_dẫn,Positive,1.0,manual
7625103153507582740,phuc_long,Ủa thấy bưởi ngon mà ta 😂,0,2026-04-05 09:54:49,TikTok,ly_heo193,25,ủa thấy bưởi ngon mà ta,ủa thấy bưởi ngon mà ta,Positive,1.0,manual
7629221392387851028,phuc_long,Ngon,0,2026-04-16 12:15:50,TikTok,van.nguyen364,4,ngon,ngon,Positive,1.0,manual
7627771483880243988,phuc_long,Chủ nhật gặp mặt tại Phúc Long nhé cả nhà ❤️❤️❤️,1,2026-04-12 14:29:17,TikTok,tuantrungphan79,48,chủ nhật gặp mặt tại phúc_long nhé cả nhà,chủ_nhật gặp_mặt tại phúc_long nhé cả nhà,Neutral,1.0,manual
7631914531669852936,phuc_long,chiều tụt năng lượng là nhớ mấy món này,1,2026-04-23 18:26:26,TikTok,svitfpt,39,chiều tụt năng lượng là nhớ mấy món này,chiều tụt năng_lượng là nhớ mấy món này,Neutral,1.0,manual
7631916127795741448,phuc_long,có bán set bánh riêng ko hay phải kèm nước shop ơi,1,2026-04-23 18:32:37,TikTok,xunvit187,50,có bán set bánh riêng không hay phải kèm nước shop ơi,có bán set bánh riêng không hay phải kèm nước shop ơi,Neutral,1.0,manual
7631914481631200008,phuc_long,ăn bánh trừ cơm được khum,1,2026-04-23 18:26:15,TikTok,.lv_xx,25,ăn bánh trừ cơm được khum,ăn bánh_trừ cơm được khum,Neutral,1.0,manual
7631942007371858706,phuc_long,Nhìn thèm thế,1,2026-04-23 20:13:00,TikTok,tthanh23042005,13,nhìn thèm thế,nhìn thèm thế,Positive,1.0,manual
7634169890371076871,phuc_long,định tiết kiệm mà thôi để mai tính,1,2026-04-29 20:18:23,TikTok,nolefptct,34,định tiết kiệm mà thôi để mai tính,định tiết_kiệm mà thôi để mai_tính,Neutral,1.0,manual
7634171607325688597,phuc_long,mỗi lần lướt trúng mấy clip này là tốn tiền,1,2026-04-29 20:25:04,TikTok,ky0_h31m,43,mỗi lần lướt trúng mấy clip này là tốn tiền,mỗi lần lướt trúng mấy clip này là tốn tiền,Negative,1.0,manual
7635930158990721800,phuc_long,nhìn mà đói bụng luôn,0,2026-05-04 14:09:09,TikTok,80eternal_sunshine08,21,nhìn mà đói bụng luôn,nhìn mà đói bụng luôn,Neutral,1.0,manual
7632212299927438088,phuc_long,Có bánh khác k,1,2026-04-24 13:41:56,TikTok,chuatedianguc_102,14,có bánh khác không,có bánh khác không,Neutral,1.0,manual
7635928568031937298,phuc_long,cứ tới giờ này là bụng tự báo động,0,2026-05-04 14:02:59,TikTok,angelneymar04,34,cứ tới giờ này là bụng tự báo động,cứ tới giờ này là bụng tự báo_động,Neutral,1.0,manual
7635929591965778695,phuc_long,croissant ở đây ăn ngon hơn mấy chỗ khác,0,2026-05-04 14:06:53,TikTok,rayderlol,44,croissant ơ đây ăn ngon hơn mâ y chô kha c,croissant ơ đây ăn ngon hơn mâ y_chô kha_c,Positive,1.0,manual
7635929396822082320,phuc_long,xoài đác thơm là món tui order nhiều nhất,0,2026-05-04 14:06:32,TikTok,kw_.yare,41,xoài đác thơm là món tui order nhiều nhất,xoài đác thơm là món tui order nhiều nhất,Positive,1.0,manual
7635929015572415233,phuc_long,Giá lẻ sao ạ,0,2026-05-04 14:05:05,TikTok,juanita_s1ar,12,giá lẻ sao ạ,giá lẻ sao ạ,Neutral,1.0,manual
7635929110640902928,phuc_long,xin menu giá bánh ạ,0,2026-05-04 14:05:42,TikTok,ayis647,19,xin menu giá bánh ạ,xin menu giá bánh ạ,Neutral,1.0,manual
7635929055536055058,phuc_long,Bánh ở đây đúng vị mình thích,0,2026-05-04 14:04:51,TikTok,sami1711,29,bánh ở đây đúng vị mình thích,bánh ở đây đúng vị mình thích,Positive,1.0,manual
7635929672068891413,phuc_long,đác thơm hôm nay ăn cảm giác hơi ngọt so với mọi khi,0,2026-05-04 14:07:18,TikTok,imarix_fer,52,đác thơm hôm nay ăn cảm giác hơi ngọt so với mọi khi,đác thơm hôm_nay ăn cảm_giác hơi ngọt so với mọi_khi,Positive,1.0,manual
7635929126260491028,phuc_long,Mê cái vị thanh của sữa chua xoài này ghê,0,2026-05-04 14:05:18,TikTok,geraldgt7,41,mê cái vị thanh của sữa chua xoài này ghê,mê cái vị thanh của sữa chua_xoài này ghê,Positive,1.0,manual
7635929333412922120,phuc_long,ngày nào cũng nói giảm cân mà vẫn ăn đều,0,2026-05-04 14:05:55,TikTok,lessly_jg,40,ngày nào cũng nói giảm cân mà vẫn ăn đều,ngày nào cũng nói giảm cân mà vẫn ăn đều,Neutral,1.0,manual
7635929872481354504,phuc_long,nhìn phát thèm luôn á,0,2026-05-04 14:07:58,TikTok,yeyzzy_chris,21,nhìn phát thèm luôn á,nhìn phát_thèm luôn á,Positive,1.0,manual
7635929824100188949,phuc_long,mai phải qua thử ngay mới được,0,2026-05-04 14:07:58,TikTok,v_ale39,30,mai phải qua thử ngay mới được,mai phải qua thử ngay mới được,Neutral,1.0,manual
7635929782539502344,phuc_long,nhìn hình thôi mà chảy nước miếng,0,2026-05-04 14:07:45,TikTok,stephanie_0283,33,nhìn hình thôi mà chảy nước miếng,nhìn hình thôi mà chảy nước miếng,Neutral,1.0,manual
7635929634451227412,phuc_long,cuối tuần ghé ăn thử,0,2026-05-04 14:07:18,TikTok,mantaraya_2,20,cuối tuần ghé ăn thử,cuối tuần ghé ăn thử,Neutral,1.0,manual
7635929515604329233,phuc_long,món xoài này ăn bao dính 🥭,0,2026-05-04 14:06:45,TikTok,gretel_lv_,26,món xoài này ăn bao dính,món xoài này ăn_bao dính,Neutral,1.0,manual
7635929542960399121,phuc_long,quán đông nhưng nv làm món cũng lẹ,0,2026-05-04 14:06:44,TikTok,reni.ma0_0,34,quán đông nhưng nv làm món cũng lẹ,quán đông nhưng nv làm món cũng lẹ,Positive,1.0,manual
7638608095271355143,phuc_long,trời nóng mà thấy mấy ly này là chịu không nổi,0,2026-05-11 19:20:53,TikTok,17_santi_0,46,trời nóng mà thấy mấy ly này là chịu không nổi,trời nóng mà thấy mấy ly này là chịu không nổi,Neutral,1.0,manual
7638608475232568072,phuc_long,thèm trà sữa mà k muốn béo thì sữa chua xoài đác thơm là đúng bài,0,2026-05-11 19:22:15,TikTok,samy_3011,65,thèm trà_sữa mà không muốn béo thì sữa chua xoài đác thơm là đúng bài,thèm trà_sữa mà không muốn béo thì sữa chua xoài_đác thơm là đúng bài,Positive,1.0,manual
7638604961068942098,phuc_long,tnhien thấy là thèm Phúc Long lại luon,0,2026-05-11 19:08:44,TikTok,whos_rurx,38,tnhien thấy là thèm phúc_long lại luon,tnhien thấy là thèm phúc_long lại luon,Positive,1.0,manual
7638604739538567953,phuc_long,sáng làm ly ô long là tỉnh người,0,2026-05-11 19:07:51,TikTok,arepitaconpollo,32,sáng làm ly ô long là tỉnh người,sáng làm ly_ô long là tỉnh người,Neutral,1.0,manual
7636023902586995474,phuc_long,phải thử món này mới đc,0,2026-05-04 20:12:53,TikTok,lucastalucasta,23,phải thử món này mới được,phải thử món này mới được,Neutral,1.0,manual
7635968081907598096,phuc_long,Ngày nào cũng uống tốn tiền quá Phúc Long ơi,0,2026-05-04 16:36:19,TikTok,ctv1_6,44,ngày nào cũng uống tốn tiền quá phúc_long ơi,ngày nào cũng uống tốn tiền quá phúc_long ơi,Negative,1.0,manual
7635966418656133904,phuc_long,Vừa uống hôm qua xong,0,2026-05-04 16:29:50,TikTok,ctv1_3,21,vừa uống hôm qua xong,vừa uống hôm_qua xong,Neutral,1.0,manual
7635951029562409735,phuc_long,thèm quá trời ơi,0,2026-05-04 15:30:16,TikTok,meucte011_,16,thèm quá trời ơi,thèm quá trời ơi,Positive,1.0,manual
7635924834946319125,phuc_long,tui thì vẫn mê trà vải hơn mấy món này 😭,0,2026-05-04 13:48:37,TikTok,jazzitz4,40,tui thì vẫn mê trà vải hơn mấy món này,tui thì vẫn mê trà vải hơn mấy món này,Positive,1.0,manual
7638194746931086088,phuc_long,Bánh mì nhìn hấp dẫn ghê,0,2026-05-10 16:36:57,TikTok,ander___aa,24,bánh mì nhìn hấp dẫn ghê,bánh_mì nhìn hấp_dẫn ghê,Positive,1.0,manual
7637466910595531538,phuc_long,Áp dụng mang đi hay ăn tại quán vậy,0,2026-05-08 17:32:34,TikTok,valentinakhvrc,35,áp dụng mang đi hay ăn tại quán vậy,áp_dụng mang đi hay ăn tại quán vậy,Neutral,1.0,manual
7637455071017976584,phuc_long,Sáng nào cũng phải cúng tiền cho Phúc Long mới chịu,0,2026-05-08 16:46:30,TikTok,valenntinnaa_0,51,sáng nào cũng phải cúng tiền cho phúc_long mới chịu,sáng nào cũng phải cúng tiền cho phúc_long mới chịu,Neutral,1.0,manual
7637454849936130834,phuc_long,Ăn xong tỉnh táo làm việc hẳn,0,2026-05-08 16:45:38,TikTok,fande_bachira2,29,ăn xong tỉnh táo làm việc hẳn,ăn xong tỉnh_táo làm_việc hẳn,Neutral,1.0,manual
7637451019106288402,phuc_long,Áp dụng tới khi nào v sốp,0,2026-05-08 16:30:45,TikTok,clansmokingrx,25,áp dụng tới khi nào v sốp,áp_dụng tới khi nào v sốp,Neutral,1.0,manual
7637372002521547527,phuc_long,Bánh mì có pate k ta,0,2026-05-08 11:24:11,TikTok,snoopy_ren,20,bánh mì có pate không ta,bánh_mì có pate không ta,Neutral,1.0,manual
7627331986177409810,phuc_long,không biết Phúc Long có tính mở ở Tây Ninh ko nhể 🤣,1,2026-04-11 10:03:50,TikTok,mynh.nhwt_,51,không biết phúc_long có tính mở ở tây ninh không nhể,không biết phúc_long có tính mở ở tây_ninh không nhể,Neutral,1.0,manual
7635929855637701383,phuc_long,Ăn là ghiền,0,2026-05-04 14:08:03,TikTok,kev1n_santiago0,11,ăn là ghiền,ăn là ghiền,Positive,1.0,manual
7635929722405012231,phuc_long,Phúc Long mở bán thêm bánh mì hợp lý quá trời,0,2026-05-04 14:07:28,TikTok,sofi._zzx1,45,phúc_long mở bán thêm bánh mì hợp lý quá trời,phúc_long mở bán thêm bánh_mì hợp_lý quá trời,Neutral,1.0,manual
7635929632256394005,phuc_long,Đang đói mà làm ổ này là tỉnh,0,2026-05-04 14:07:06,TikTok,alex.cruz4863,29,đang đói mà làm ổ này là tỉnh,đang đói mà làm ổ này là tỉnh,Neutral,1.0,manual
