clean_text,true_label,topic
uống dị chắc hổng mập đâu,POS,0
thanh trucc uống mệt nghỉ luôn,NEU,0
nhiêu tien vậy,NEU,0
vừa đấm vừa xoa,NEG,0
"uống có vị gạo,matcha uống như bỏ bột vô nc sôi rồi bỏ vô cốc,uống chát chát tởm tởm ykr",NEG,0
cá nhân mình thấy nó ngọt kiểu hoá học và khá gắt cổ.nói chung không hạp gu,NEG,0
không ngon nha,NEG,0
cả tik tok chắc tui nghĩ nhiều ròi không chắc người này đâu,NEU,0
nhy trươngphuong quyenchưa uống mà chờu,NEU,0
matcha uống ngon nha các bạn vị rất matcha,POS,0
hoàng hôn hn vẫn là 1 cái gì đó,NEU,0
đi uống hòi h chưa có topping nhiều vậy,NEU,0
uống tưởng uống nửa ký đường,NEG,0
"thôi, 7 ngày nay uống hl 5 ngày lận, cho a thư thư cái đê",POS,0
hoài lum í,NEU,0
shao 0 có đồ blackpink vậy highland,NEU,0
nhờ 2 lèn tao mới nhớ trong tủ còn cốc mixue chưa uống,NEU,0
vậy uống findi kem sữa là được mà taa,NEU,0
nên hải hoàng hoàng hải,NEU,0
bnhieu mot cai,NEU,0
bữa sáng quốc dân,POS,0
ngô thuỷ tối ni uống không nè,NEU,0
có ai thử vị này chưa,NEU,0
món mới tao còn chưa kịp uống,NEU,0
cơ sở nào thì có cốc này bạnv,NEU,0
ịbhjkkddkhejwbđnnctren kw dcs,NEU,0
tuần uốg 3 lần rồi đó..,NEU,0
cho xin gợi ý món nước uống kèm bữa sáng với.,NEU,0
hôm nào chẳng uống,NEU,0
dở ạ. sáng mới uống vẫn thạch đào phidi hạnh nhân là chân ái,NEG,0
như nhật hoàng,NEU,0
team thích uống trà sen vàng,POS,0
giới thiệu về mối quan hệ hợp tác này,NEU,0
ngo không lamly deng có rồi,NEU,0
ở rg cũng có mà pk,NEU,0
quán này này,NEU,0
li giữa dở lắm đừng uống nha anh em,NEG,0
01 thức uống size l,NEU,0
"ai uống rồi cho mình hỏi có tanh không ạ , tanh mình uống không được",NEG,0
uống xog cười 24h,NEU,0
"chất lượng đồ uống không ổn định, mỗi lần một vị khác nhau",NEG,0
ở đâu vậy mọi người,NEU,0
"đồ uống của katinat quá ngọt luôn ấy , lần nào đi uống cũng bắt giảm 30 50 có khi 70 luôn mà vẫn ngọt lợ , khó uống cực",NEG,0
"trà quả mọng thì nhưng, bán quả mơ mận này uống dở tàn canh. mà đó giờ gu tao mơ mận xí muội đồ đó mà uống không vô",NEG,0
uống thấy phí tiền thật sự,NEG,0
uống thì dờ. quảng cáo hoài,NEU,0
cho một ly tocotoco đi,NEU,0
"quá mình có đường dành cho bầu không ạ , muốn uống mà sợ ngọt",NEU,0
"matchaphididâu huỳnh quý, huỳnh hồng loan",NEU,0
tộp ping tộp ping,NEU,0
chịu highland luôn,NEU,0
bạch tràngô thị thu trangtô tô,NEU,0
0 tao tức à,NEU,0
"có thể nào trả lại cái ống nhựa hk dị, ống giấy hút 2 hớp là giấy nó mềm xèo, h đi uống là phải xách theo ống hút nhựa để uống",NEU,0
quán đến để uống nước quán đến để bỏ tiền làm phục vụ cho quán,NEU,0
đi uống katinat cho rooif,NEU,0
nhờ quảng cáo này nên mình không uống highland nữa,NEU,0
htrc uống bên vc phạm ngọc thạch,NEU,0
mik uống cả 2 món rồi nha. tuyệt vời !,POS,0
nghe xong mai tao phải đi mua cafe sữa highland uống mới được,NEU,0
tui tự làm uống trước nghen ad.,NEU,0
tao uống nhiều mà rút ra được bài học chỉ có tù mới tự phục vụ.! chai nước khoáng 25k lậy hồn,NEG,0
hl ok nhầt mình hay uống,NEU,0
vừa uống xong kk,NEU,0
bé uống chưa ạaa,NEU,0
uầy xinh thế,POS,0
mik xin không uống chỗ này nx,NEU,0
"muốn có chi nhánh ở khánh hoà để uống thử với thử bóc có trúng sít rịt không nữa, tiếc cái không có chi khánh ở khánh hoà đâu hết",NEU,0
hoan hi don nhan tai loc,NEU,0
nhìn phát thèm luôn á,POS,0
được quá í nhò,NEU,0
ngọt thì thôi rồi. uống không hết được cốc cơ,NEG,0
đừng uống phindi matcha dâu nha mọi người,NEG,0
ê í là đang hay,NEU,0
katinat tốt bụng quá đi,POS,0
còn không à,NEU,0
để nước đá có tươm nước không mọi người,NEU,0
trinh lêtrúng được cả câu thơ,NEU,0
thuyệt hôm boà,NEU,0
đang uống luôn .,NEU,0
mềnh chệu luông,NEU,0
có hứng làm deadline thiệt kzay ??,NEU,0
mê mèow bữa uống ròi thấy sao bạn sang k,POS,0
tao bắt giày,NEU,0
uống xong cầu trúng. số có hog,NEU,0
uống vị đầu lạ mà càng uống càng ghiền bây ơi,POS,0
mới uống phindi matcha dâu mà nó lạ lắm,NEG,0
ngọc diễmđỗ hòai đạtt chưa kịp uống,NEU,0
uống ngon nha thon lắm nên thử ạh,POS,0
êh bữa nào thử đi,NEU,0
vậy là mình bỏ 70k để uống siro dở ẹc à,NEG,0
"nhìn ngon dị,",POS,0
star perfume bmtngon nha,POS,0
thanh thủycơ sở nào thì có cốc này bạnv,NEU,0
ngô thuỷtối ni uống không nè,NEU,0
ok đi thoi ung mỹ quyên,NEU,0
bên đây nước uống nào cũng ok .,POS,0
không được nv giới thiệu dù uống highlands mỗi ngày,NEU,0
"ngọt , ngọt ù tai",NEG,0
đồ uống katinat quá ngọt đi. lần nào uống cũng bảo giảm còn 50 ngọt nhưng ngọt hơn các thức uống bình thường của các quán khác. đồ uống không ngon còn rất ngọt. bp rồi d nên nghiên cứu lại,NEG,0
.kth đi đi,NEU,0
tr ơi bữa uống matcha latte tanh mún bỏ cơm,NEG,0
uống như đấm vào mõm,NEG,0
highland bắc ninh có không b,NEU,0
lại nữa rồi a,NEU,0
fan starbuck nhưng dính trà sen vàng hightland,POS,0
đã thẩm ngon nha,POS,0
ai uống được nc lên men thì hả uống trà mơ mận nha mọi người,NEU,0
zui dị keke,NEU,0
thử món mới matcha phindi dâu gì á. uống xong về ải chỉa luôn,NEG,0
dở lắm máaa,NEG,0
sạch sẻ táo không uống được táo nha bà cá,NEU,0
phương aanh uống nào trúng dt thì thôi ha,NEU,0
đi đâu gặp highland cũng rẽ zô oder trà sen vàng vậy mà,NEU,0
sao để 2 cuồn chỉ chi vậy k,NEU,0
hay,NEU,0
jollibee chào highland nhé,NEU,0
review cho mọi người đỡ tốn tiền đắng mặn chát,NEG,0
phuc long ten lửa mới uống hết buồn hiu luôn,NEG,0
tao uống mà không lên tao dãy nha,NEU,0
"ok , cảm ơn rất nhiều",NEU,0
ai thử chưa ạ,NEU,0
mai mà free thì đừng hỏi tại sao tôi uống,NEU,0
hôm qua đi có thấy đâu..,NEU,0
gòi gòi cái công cuộc này coi bộ khó à nghen,NEU,0
những thức uống sáng tạo từ nông sản việt đã sẵn sàng đợi katies và người thân thưởng thức,POS,0
katinat rất siêng ra món mới.,NEU,0
cá nhân tui thầy dừa xiêm dẻ cười trà thơm nhưng khó uống nha,NEG,0
ngon,POS,0
hl giờ chán bm,NEG,0
đẹp,POS,0
"tính ra hời, sáng ăn chiều uống được cả ngày luôn",NEU,0
thấy cũng đẹp mà uống ghê lắm,POS,0
chắc ra mua uống xem nó có lên cấp không,NEU,0
nhìn thèm thật sự,POS,0
quá ok rồi,NEU,0
đang uống highland luôn,NEU,0
"nay e uống rồi , uống luôn trà mới luôn cũng ngon phết",POS,0
hai ơi bữa trước uống mochi hồng kong xong say luôn,NEG,0
còn không ạ,NEU,0
hồi hộp quá,NEU,0
bảnh là gì,NEU,0
định tiết kiệm mà thôi để mai tính,NEU,0
"chán lắm, cố vẫn thừa nửa cốc",NEG,0
có ai pass ly không ạ,NEU,0
cãnh đep quá,NEU,0
em sẽ không nói rằng em thích trà sen vàng củ năng không đường đâu ạ 3,POS,0
làm s để được cái quạt v,NEU,0
phan vietcũng cũng ok nhỉ,NEU,0
"phinđi hạnh nhân hương vị quốc dân không thể chối từ! hạnh nhân thơm lừng đi kèm thạch cà phê giòn dai sần sật, uống là dính, nhai là mê.",NEU,0
cái bóng của ở nhà thì không uống nước quá lớn,NEG,0
ước chá sen zàng đỡ ngọt hơn,NEU,0
nhìn là thấy ngọt rồi,NEU,0
phindi matcha dâu nhưng không bỏ dâu được hmm,POS,0
puka nay lạ quá,NEU,0
quá sáng tạo luôn,POS,0
ai uống chưa cho xin cảm nhận đi,NEU,0
sao dat không được,NEU,0
